Date,Draw,Numbers,Bonus
2024-03-29,1497,"1,13,24,25,35",4
2024-03-26,1496,"11,15,35,41,45",12
2024-03-22,1495,"9,10,36,43,44",7
2024-03-19,1494,"7,15,19,26,36",15
2024-03-15,1493,"4,9,20,22,33",20
2024-03-12,1492,"2,18,21,47,48",9
2024-03-08,1491,"7,18,19,27,28",14
2024-03-05,1490,"2,4,23,27,31",4
2024-03-01,1489,"10,30,35,42,46",10
2024-02-27,1488,"12,13,33,39,43",4
2024-02-23,1487,"3,19,22,35,38",17
2024-02-20,1486,"4,13,16,21,32",4
2024-02-16,1485,"18,33,35,46,48",16
2024-02-13,1484,"13,15,30,32,46",17
2024-02-09,1483,"8,16,24,29,36",17
2024-02-06,1482,"2,6,10,18,28",15
2024-02-02,1481,"21,35,37,43,46",19
2024-01-30,1480,"1,8,30,39,44",3
2024-01-26,1479,"1,6,13,20,21",12
2024-01-23,1478,"9,16,21,26,39",16
2024-01-19,1477,"11,18,20,41,46",15
2024-01-16,1476,"5,29,40,42,47",6
2024-01-12,1475,"15,29,36,45,49",5
2024-01-09,1474,"12,20,24,33,43",19
2024-01-05,1473,"2,18,31,43,50",7
2024-01-02,1472,"9,20,23,46,50",5
2023-12-29,1471,"17,21,38,48,49",15
2023-12-26,1470,"6,29,30,34,38",12
2023-12-22,1469,"24,27,29,34,38",16
2023-12-19,1468,"4,17,25,28,35",2
2023-12-15,1467,"16,24,34,38,44",13
2023-12-12,1466,"7,9,15,38,41",17
2023-12-08,1465,"2,22,24,32,33",1
2023-12-05,1464,"19,20,21,30,39",12
2023-12-01,1463,"16,18,44,46,48",8
2023-11-28,1462,"4,17,25,26,46",5
2023-11-24,1461,"21,32,40,41,47",4
2023-11-21,1460,"3,13,24,45,49",10
2023-11-17,1459,"4,20,24,30,42",8
2023-11-14,1458,"10,24,30,33,44",20
2023-11-10,1457,"3,18,21,37,46",3
2023-11-07,1456,"3,13,28,31,40",15
2023-11-03,1455,"1,8,24,26,31",2
2023-10-31,1454,"10,15,19,36,48",4
2023-10-27,1453,"16,17,21,31,36",15
2023-10-24,1452,"1,10,33,37,46",4
2023-10-20,1451,"3,7,13,18,42",12
2023-10-17,1450,"5,18,29,36,49",18
2023-10-13,1449,"9,11,39,41,44",19
2023-10-10,1448,"7,15,19,20,49",10
2023-10-06,1447,"19,21,25,41,49",9
2023-10-03,1446,"3,8,15,24,45",14
2023-09-29,1445,"6,14,27,31,47",14
2023-09-26,1444,"8,22,25,35,44",2
2023-09-22,1443,"8,9,19,26,27",5
2023-09-19,1442,"15,18,36,43,46",18
2023-09-15,1441,"3,21,28,35,46",19
2023-09-12,1440,"3,15,18,36,45",20
2023-09-08,1439,"5,8,14,35,36",12
2023-09-05,1438,"4,12,18,24,50",12
2023-09-01,1437,"1,3,8,33,49",4
2023-08-29,1436,"8,23,31,36,44",17
2023-08-25,1435,"3,4,7,13,24",5
2023-08-22,1434,"5,10,16,19,29",10
2023-08-18,1433,"1,3,6,7,16",1
2023-08-15,1432,"7,9,16,34,38",11
2023-08-11,1431,"30,35,42,43,44",5
2023-08-08,1430,"17,18,26,39,46",4
2023-08-04,1429,"19,27,28,37,43",4
2023-08-01,1428,"1,16,30,38,46",10
2023-07-28,1427,"2,6,11,20,47",7
2023-07-25,1426,"14,24,25,44,48",4
2023-07-21,1425,"19,21,25,31,48",20
2023-07-18,1424,"5,21,33,45,50",5
2023-07-14,1423,"1,22,31,32,41",9
2023-07-11,1422,"10,19,20,22,48",19
2023-07-07,1421,"8,21,25,26,29",18
2023-07-04,1420,"13,29,30,31,47",8
2023-06-30,1419,"9,17,27,36,37",16
2023-06-27,1418,"7,21,33,45,46",12
2023-06-23,1417,"19,37,41,43,47",16
2023-06-20,1416,"20,24,33,44,48",6
2023-06-16,1415,"13,21,26,30,50",2
2023-06-13,1414,"10,28,31,35,42",1
2023-06-09,1413,"5,17,22,27,37",2
2023-06-06,1412,"3,9,15,38,44",12
2023-06-02,1411,"1,4,5,12,25",14
2023-05-30,1410,"3,7,38,48,50",16
2023-05-26,1409,"4,9,21,22,41",7
2023-05-23,1408,"20,24,26,28,38",13
2023-05-19,1407,"3,16,22,42,49",19
2023-05-16,1406,"1,5,14,36,45",19
2023-05-12,1405,"5,11,30,40,47",18
2023-05-09,1404,"2,4,16,17,34",19
2023-05-05,1403,"2,20,24,29,43",20
2023-05-02,1402,"13,16,17,41,43",18
2023-04-28,1401,"20,21,28,35,44",11
2023-04-25,1400,"10,12,13,23,47",16
2023-04-21,1399,"2,3,6,12,49",10
2023-04-18,1398,"3,5,8,15,25",16
2023-04-14,1397,"16,20,33,37,44",16
2023-04-11,1396,"4,30,38,43,49",19
2023-04-07,1395,"9,15,21,22,26",13
2023-04-04,1394,"15,18,29,33,35",12
2023-03-31,1393,"7,20,41,42,49",7
2023-03-28,1392,"10,22,27,42,49",19
2023-03-24,1391,"6,27,33,45,46",14
2023-03-21,1390,"7,22,28,34,41",10
2023-03-17,1389,"21,22,27,41,43",5
2023-03-14,1388,"8,20,29,42,44",16
2023-03-10,1387,"12,19,22,27,37",6
2023-03-07,1386,"8,14,15,27,49",16
2023-03-03,1385,"18,20,41,47,50",14
2023-02-28,1384,"2,14,21,22,40",19
2023-02-24,1383,"7,23,31,38,43",11
2023-02-21,1382,"10,18,22,36,48",2
2023-02-17,1381,"1,2,4,19,24",19
2023-02-14,1380,"8,14,18,21,49",11
2023-02-10,1379,"3,5,21,42,46",6
2023-02-07,1378,"3,4,23,32,49",8
2023-02-03,1377,"17,32,35,42,43",6
2023-01-31,1376,"12,14,17,29,50",20
2023-01-27,1375,"27,34,36,40,50",2
2023-01-24,1374,"3,10,32,40,48",2
2023-01-20,1373,"5,12,15,39,47",8
2023-01-17,1372,"1,9,37,38,39",5
2023-01-13,1371,"12,19,25,29,41",2
2023-01-10,1370,"8,22,27,37,50",9
2023-01-06,1369,"6,20,31,37,46",4
2023-01-03,1368,"2,21,33,39,42",11
2022-12-30,1367,"5,8,27,33,48",7
2022-12-27,1366,"3,19,24,28,45",12
2022-12-23,1365,"3,12,13,18,46",1
2022-12-20,1364,"4,9,19,24,29",2
2022-12-16,1363,"26,28,36,43,48",11
2022-12-13,1362,"16,23,36,43,46",17
2022-12-09,1361,"2,9,17,45,48",14
2022-12-06,1360,"1,9,10,47,50",11
2022-12-02,1359,"12,14,28,31,34",5
2022-11-29,1358,"4,6,8,33,38",5
2022-11-25,1357,"7,16,26,34,40",11
2022-11-22,1356,"5,18,21,37,38",19
2022-11-18,1355,"13,24,29,47,50",5
2022-11-15,1354,"5,7,16,36,41",2
2022-11-11,1353,"1,28,34,35,39",18
2022-11-08,1352,"7,8,9,10,17",17
2022-11-04,1351,"1,8,29,35,40",15
2022-11-01,1350,"3,6,22,29,47",19
2022-10-28,1349,"15,25,30,32,40",9
2022-10-25,1348,"20,23,27,39,46",6
2022-10-21,1347,"16,18,26,35,41",3
2022-10-18,1346,"6,7,14,29,48",13
2022-10-14,1345,"6,17,22,33,37",2
2022-10-11,1344,"2,12,25,29,34",16
2022-10-07,1343,"3,12,16,33,45",15
2022-10-04,1342,"23,24,27,38,41",2
2022-09-30,1341,"7,27,29,35,50",3
2022-09-27,1340,"4,32,39,40,46",6
2022-09-23,1339,"9,25,42,46,47",16
2022-09-20,1338,"13,16,23,45,47",17
2022-09-16,1337,"7,16,27,28,29",17
2022-09-13,1336,"1,10,11,20,33",11
2022-09-09,1335,"9,14,22,35,47",4
2022-09-06,1334,"2,8,26,31,34",5
2022-09-02,1333,"1,12,18,20,41",5
2022-08-30,1332,"1,7,10,27,35",17
2022-08-26,1331,"3,11,17,23,45",15
2022-08-23,1330,"10,11,17,29,40",15
2022-08-19,1329,"23,36,39,40,43",3
2022-08-16,1328,"21,33,40,42,48",2
2022-08-12,1327,"24,30,38,39,44",16
2022-08-09,1326,"6,26,39,42,43",1
2022-08-05,1325,"16,18,21,32,44",18
2022-08-02,1324,"13,14,20,43,45",1
2022-07-29,1323,"7,14,28,32,36",8
2022-07-26,1322,"4,6,9,41,50",13
2022-07-22,1321,"5,18,19,20,48",1
2022-07-19,1320,"14,18,29,46,47",16
2022-07-15,1319,"3,9,36,44,50",16
2022-07-12,1318,"1,17,21,47,48",15
2022-07-08,1317,"4,9,19,21,37",15
2022-07-05,1316,"13,14,16,18,31",19
2022-07-01,1315,"6,8,13,21,28",1
2022-06-28,1314,"9,12,28,29,50",13
2022-06-24,1313,"4,13,25,38,44",13
2022-06-21,1312,"2,6,18,40,50",16
2022-06-17,1311,"4,22,32,46,48",16
2022-06-14,1310,"5,23,26,46,48",16
2022-06-10,1309,"12,25,26,27,49",13
2022-06-07,1308,"4,7,35,41,46",4
2022-06-03,1307,"12,17,20,21,33",6
2022-05-31,1306,"1,5,17,24,33",13
2022-05-27,1305,"7,24,26,27,50",18
2022-05-24,1304,"7,16,21,22,32",12
2022-05-20,1303,"2,14,19,24,39",9
2022-05-17,1302,"15,24,32,35,46",11
2022-05-13,1301,"9,14,15,35,49",13
2022-05-10,1300,"22,38,42,48,49",16
2022-05-06,1299,"4,14,30,34,38",14
2022-05-03,1298,"24,26,35,39,44",20
2022-04-29,1297,"5,10,25,34,50",16
2022-04-26,1296,"2,20,38,43,46",9
2022-04-22,1295,"13,20,30,38,42",9
2022-04-19,1294,"12,25,26,28,43",8
2022-04-15,1293,"4,10,12,35,39",4
2022-04-12,1292,"11,15,28,34,42",5
2022-04-08,1291,"7,12,13,16,38",16
2022-04-05,1290,"18,36,38,42,50",17
2022-04-01,1289,"11,17,21,37,47",7
2022-03-29,1288,"1,20,35,42,46",2
2022-03-25,1287,"15,28,32,43,50",17
2022-03-22,1286,"20,30,35,43,48",19
2022-03-18,1285,"3,12,15,19,22",8
2022-03-15,1284,"19,24,37,38,41",16
2022-03-11,1283,"5,11,24,37,47",2
2022-03-08,1282,"8,14,21,40,43",5
2022-03-04,1281,"9,17,33,46,49",5
2022-03-01,1280,"4,15,26,38,39",19
2022-02-25,1279,"6,12,26,40,45",1
2022-02-22,1278,"18,29,31,32,49",1
2022-02-18,1277,"2,15,31,47,48",15
2022-02-15,1276,"2,9,26,27,32",17
2022-02-11,1275,"9,18,34,36,49",12
2022-02-08,1274,"1,4,14,39,49",13
